Titulo;Autor - Apellido;Autor - Nombre;Genero;Editorial;Coleccion
Carta a mi Padre Muerto;Gironella; Jose Maria;;Circulo de Lectores;
"El Se�or de los Anillos
II. Las dos Torres";Tolkien; J.R.R.;Novela juvenil;Minotauro;
El caballero de Olmedo;Lope de Vega;;;Catedra;Letras Hispanicas
Poema del oto�o y otros poemas;Dario; Ruben;;Espasa Calpe;Austral
La muerte de Tintagiles;;;;;
Sabiduria de un pobre;Leclerc;Eloi;;Marova;
El diablo cojuelo;Velez de Guevara;Luis;;;
La mujer de verde;Indridason; Arnaldur;;RBA;Serie negra
Decir NO a los hijos;Juez; M� Angeles;;Sintesis;Ni�os, adolescentes, padres
Aquel por el que llega el escandalo;Girard;Rene;Religion;Caparros Editores;Esprit
Los Se�ores del Tiempo;Garcia Saenz de Urturi; Eva;Novela;Planeta;Trilogia de la Ciudad Blanca 3
La torre de Babel;West; Morris;;Circulo de Lectores;
La America Hispanohablante;Malmberg; Bertil;;Istmo;Fundamentos
El medico;Gordon; Noah;;Rocabolsillo;
Al margen;;;;;
La tregua;;;;;
Rawls (44);Verges Gifra;Joan;Filosofia;RBA;Comprender la Filosofia
El psicodrama y la vida;Bour; Pierre;;Biblioteca nueva;
Los organillos;Rey; Henri-Fran�ois;;Ediciones G.P.;Reno
Travesuras de Matonkiki;Fortun; Elena;;Aguilar;
Diana, en busca del amor;Morton; Andrew;;ABC;Biografias Vivas
La Conspiracion;Driscoll; Peter;;Circulo de Lectores;
Las coles del cementerio;;;;;
"Rimas y Leyendas:
Rimas (96)";Becquer; Gustavo Adolfo;;Espasa Calpe;Austral
Silencio;;;;;
El Gran capitan: Gonzalo Fernandez de Cordoba;Sanchez de Toca; Jose Maria;;EDAF;Colecciones de la Historia
Perry Mason - El caso de la tia enamorada;Gardner; Erle Stanley;;Molino;
Como acabar de una vez por todas con la cultura;Allen; Woody;;Tusquets;Cuadernos Infimos
La Muchacha de las Bragas de Oro;Marse; Juan;;;
Caperucita encarnada;;;;;
Carretera intermedia;Salisachs;Mercedes;;Planeta;Autores Espa�oles Contemporaneos
La penultima novela;;;;;
Marcelino Pan y Vino;Sanchez-Silva; Jose Maria;;Mi�on;las Campanas
"Una pelicula del ""Quijote""";;;;;
Antonio Machado para ni�os;Caudet; Francisco;;Ediciones de la Torre;
Gorgias, o de la retorica;;;;;
El angel de lo Singular. Extravagancia;;;;;
El diablo en el campanario;;;;;
Los conspiradores;Bailey; Geoffrey;;Luis de Caralt;
Caza mayor;;;;;
"De ""camisa vieja"" a chaqueta nueva";Vizcaino Casas; Fernando;;Planeta;Coleccion Fabula
La lengua y el hombre;Malmberg; Bertil;;Istmo;Fundamentos
Es facil dejar de fumar, si sabes como;Carr;Allen;;Espasa Practico;
Los Papeles del Club Pickwick;Dickens; Charles;;J. Perez del Hoyo;
Los renglones torcidos de Dios;Luca de Tena; Torcuato;Novela;Booket;
Rojo y Negro;Stendhal;;;Alianza;
La casa de enfrente;Alvarez Quintero; Serafin y Joaquin;;N/A;
Baudolino;Eco; Umberto;;Lumen;Palabra en el tiempo
Y de repente, Teresa;Sanchez Adalid; Jesus;;Ediciones B;
"Novelas ejemplares:
La gitanilla";Cervantes Saavedra; Miguel de;;Salvat;Austral
Diccionario Esencial de la Lengua Espa�ola;Varios;;Diccionario;Vox;
La Iliada;Homero;;;J. Perez del Hoyo;
Supermoney;Smith;Adam;;Grijalbo;
Perry Mason - El caso de las mu�ecas semejantes;Gardner; Erle Stanley;;Molino;
Discurso del metodo;Descartes; Rene;;Alianza;
X en un suelto;;;;;
Eva Luna;Allende; Isabel;Novela;Plaza&Janes;Literaria
Te dare la Tierra;Llorens; Chufo;;Debolsillo;
Veinte poemas ineditos;;;;;
El celoso extreme�o;;;;;
Yo, el rey;Vallejo-Najera; Juan Antonio;;El Mundo;Las 100 mejores novelas
Torquemada, el alma de un siglo;Obermeier; Siegfried;;Planeta de Agostini;Novela historica de la Edad Media
Una fortuna peligrosa;Follet; Ken;;Grijalbo;
Hume (30);Gonzalez Orozco;Ignacio;Filosofia;RBA;Comprender la Filosofia
EN12 - Memorias de un cortesano de 1815;Perez Galdos; Benito;;Alianza;Episodios Nacionales
Hamlet;Shakespeare; William;;J. Perez del Hoyo;
Metzengerstein;;;;;
El ultimo merovingio;Hougan; Jim;;Planeta;
Isabel, la reina;Irisarri; Angeles de;;Random House Mondodori;La historia de Espa�a novela a novela
El hombre del traje color casta�o;Christie; Agatha;;Molino;
Todo esto te dare;Redondo; Dolores;Novela;Planeta;
Tres fechas;;;;;
El jardin olvidado;Morton; Kate;;Suma;
El espectador;Ortega y Gasset; Jose;;Salvat;Biblioteca basica
Apologia de Socrates;Platon;;;Alianza;Clasicos de Grecia y Roma
Tschaikovsky;Juramie; Ghislaine;;Espasa Calpe;Clasicos de la Musica
Platon (1);Alcoberro Pericay;Ramon;Filosofia;RBA;Comprender la Filosofia
Madreselva;Alvarez Quintero; Serafin y Joaquin;;N/A;
Leyenda del Cesar visionario;Umbral; Francisco;;El Mundo;Las 100 mejores novelas
Madrid, de corte a checa;Foxa; Agustin de;;El Mundo;Las 100 mejores novelas
El rayo de luna;;;;;
Ganas de re�ir;Alvarez Quintero; Serafin y Joaquin;;N/A;
La fontana de oro;Perez Galdos; Benito;;Alianza;
Las sandalias del Pescador;West; Morris;;Circulo de Lectores;
La cartuja de Parma;Stendhal;;;Alianza;
Bach;Brion; Marcel;;Hachette;Genies et Realites
Artorius;Vidal; Cesar;;Debolsillo;Bestseller
"En busca del tiempo perdido
7. El tiempo recobrado";Proust; Marcel;;Alianza;
Las ciudades carnales;Oldenbourg; Zoe;;Planeta de Agostini;Novela historica de la Edad Media
Exodo;Uris; Leon;;Circulo de Lectores;
Con Aznar y contra Aznar;Jimenez Losantos; Federico;;La esfera de los libros;Actualidad
El dominio de Arnheim o el jardin-paisaje;;;;;
Luces y sangre;Peyre;Joseph;;;
Antologia poetica;Machado;Antonio;Poesia;Magisterio Espa�ol;Novelas y Cuentos
Gog;Papini;Geovanni;;Epoca;
Maria Victoria;;;;;
Bach;Washington; Peter;;Acento;Guias Musicales
La hija del canibal;Montero; Rosa;;El Mundo;Las 100 mejores novelas
La casa del bosque;Zimmer Bradley; Marion;;Salamandra;
Epicuro (5);Berti; Gabriela;Filosofia;RBA;Comprender la Filosofia
El Balneario;Martin Gaite; Carmen;;Alianza;Alianza Cien
La herejia;Sardou; Romain;;Debolsillo;Bestseller
El si de las ni�as;Fernandez de Moratin;Leandro;;Rueda;Clasicos de la Literatura Espa�ola
"Molly Moon
Viaja a traves del tiempo";Byng;Georgia;Novela juvenil;SM;
Breves biografias intimas de grandes compositores;Bert; Julian Amich;;Molino;
No digas que fue un sue�o;Moix; Terenci;;El Mundo;Las 100 mejores novelas
Schelling (53);Gonzalez Orozco;Ignacio;Filosofia;RBA;Comprender la Filosofia
Tres rosas rojas;;;;;
Campos de Castilla;Machado;Antonio;Poesia;Catedra;Letras Hispanicas
Estrella polar;Cruz Smith; Martin;;Zeta;
Santo Tomas (26);Garcia Del Muro Solans;Juan;Filosofia;RBA;Comprender la Filosofia
Las edades de Lulu;Grandes; Almudena;;El Mundo;Las 100 mejores novelas
Levinas (51);Llorente Cardo;Jaime;Filosofia;RBA;Comprender la Filosofia
EL obsceno pajaro de la noche;Donoso; Jose;;El Mundo;Las 100 mejores novelas
La casa de las sombras;Harding; Paul;;Edhasa;
El duque de l'Omelette;;;;;
Yanko, el musico;;;;;
Thora van Deken;;;;;
Fabulas Morales;Samaniego; Felix Maria de;;Mateos;Clasicos de Siempre
El enigma de Fermat;Violant i Holz; Albert;Divulgacion;RBA;El mundo es matematico
n;;;;;
TV, fabrica de mentiras;Rico; Lolo;;Espasa Calpe;Hoy
"El asalto del cielo
La historia de Santa Catalina de Siena";Wohl;Louis de;;Palabra;
Eleonora;;;;;
San Agustin (18);Ponsati-Murla;Oriol;Filosofia;RBA;Comprender la Filosofia
El valle de los peque�os temores;;;;;
Galindez;Vazquez Montalban; Manuel;;El Mundo;Las 100 mejores novelas
Como explicar genetica con un dragon mutante;Big Van;;;Alfaguara;
Los bandidos;Schiller;Friedrich;;Ibero-Americana de publicaciones;
La experiencia de alteridad en la fenomenologia trascendental;Simon Lorda;Andres;Filosofia;Caparros Editores;Excellentia
El Principe;Maquiavelo; Nicolas;;Austral;
Rose Bernd;;;;;
Barba azul;;;;;
Cantar del Mio Cid;Anonimo;;;Castalia;Castalia didactica
No solo de caviar vive el hombre;Simmel;Johannes M.;Novela;Bolsillo Zeta;
Nuestra Natacha;;;;;
La reina sin nombre;Gudin; Maria;;Ediciones B;
La invencion de Morel;Bioy Casares; Adolfo;;El Mundo;Las 100 mejores novelas
Ofrenda a la tormenta;Redondo; Dolores;Novela;Booket;Trilogia del Baztan
Dos pesetas;Alvarez Quintero; Serafin y Joaquin;;N/A;
Los enviados del cielo;Asimov; Isaac;Narrativa infantil;Altea Mascota;
El Regreso del Caton;Asensi; Matilde;;Planeta;
El judio errante;Vidal; Cesar;;Debolsillo;Best Seller
El fin de los escribas;Cooper; Glenn;;Debolsillo;
El idolo Caido y otros relatos;Greene; Graham;;Plaza&Janes;NH
El pajaro canta hasta morir (El pajaro espino);McCullough; Colleen;;Plaza&Janes;Los Jet de P&J
Gillian;Yerby; Frank;;Planeta;Luyve
Las ciudades de la Edad Media;Pirenne;Henri;;Alianza editorial;Libro de Bolsillo
Perry Mason - El caso de la cliente majestuosa;Gardner; Erle Stanley;;Molino;
Bocetos al carbon;;;;;
Rayuela;Cortazar; Julio;;El Mundo;Las 100 mejores novelas
Schopenhauer (10);Moreno Claros; Luis Fernando;Filosofia;RBA;Comprender la Filosofia
Armonia rota;Wood; Barbara;;Grijalbo;
Bomarzo - Volumen II;Mujica Lainez; Manuel;;El Mundo;Las 100 mejores novelas
La ilustre fregona;;;;;
La sociedad contra Miguel Jalon;Martin Vigil ; Jose Luis;;Circulo de Lectores;
Escuela de Robinsones;Verne; Julio;;Salvat;Biblioteca basica
Ego te absolvo;Wilde; Oscar;Cuento;Espasa Calpe;Austral
Roquete el del copete;;;;;
Ha estallado la paz;Gironella; Jose Maria;;Circulo de Lectores;
EN03 - El 19 de marzo y el 2 de mayo;Perez Galdos; Benito;;Alianza;Episodios Nacionales
"Tormenta de espadas II
Cancion de Hielo y Fuego 3";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
El Guardian invisible;Redondo; Dolores;Novela;Booket;Trilogia del Baztan
Volveras a Region;Benet; Juan;;El Mundo;Las 100 mejores novelas
Juan Salvador Gaviota;Bach; Richard;;Ediciones B;
Una historia de amor;;;;;
El ni�o de la Confiteria (Lesley Leith);;;;;
Hipias mayor;Platon;;Filosofia;Gredos;
La inquisicion espa�ola;Roth; Cecil;Historia;Martinez Rocas;Enigmas del cristianismo
Asesinato en el campo de golf;Christie; Agatha;;Molino;Poirot
Un hombre se asoma a su pasado;Weyer;Maurice Constantin;;;
Hania;;;;;
La Cruz de Caravaca;Ballester Lorca; Pedro;;Caravaca de la Cruz;
Ligeia;;;;;
Diccionario Austral de la Lengua Espa�ola;Varios;;Diccionario;Espasa Calpe;Austral
El alcalde de Zalamea;Calderon de la Barca; Pedro;;Jorge A. Mestas;Clasicos universales
Mil soles esplendidos;Hosseini; Khaled;;Letras de bolsillo;
La Vieja Familia;Garcia Saenz de Urturi; Eva;Novela;Amazon;La Saga de los Longevos
Fabulas esopicas;Esopo;;;J.M. Ediciones;Clasicos universales
El sobrino del mago;Lewis;Clive S.;Novela juvenil;Destino;Las cronicas de Narnia 1
Pasionera;Alvarez Quintero; Serafin y Joaquin;;Alvarez Quintero;
Fabulas morales;Samaniego; Felix Maria de;Cuentos;Circulo de Lectores;
;Pedrero Sancho;Ignacio;;;
El Ingenuo;Voltaire;;;Ediciones del Centro;
Campo de sangre;Harding; Paul;;Edhasa;
La conversacion de Euros y Carmion;;;;;
La nueva mistica empresarial;Hendricks; Gay;;Empresa activa;
Como aprovechar mejor la vida;Bennet; Arnold;;Juventud;
Los crimenes de Anubis;Doherty; Paul;;Edhasa;
Frankenstein;Shelley; Mary W.;;Anaya;Tus libros
Stalin;Rubel; Maximilien;Biografia;ABC;Protagonistas de la historia
La Celestina;Rojas; Fernando de;Teatro;Bruguera;Libro clasico
Perry Mason - El caso de la mina rubia;Gardner; Erle Stanley;;Molino;
Escandalo en la asamblea;West; Morris;;Circulo de Lectores;
Madrid, Costa Fleming;Palomino; Angel;;Circulo de Lectores;
Perry Mason - El caso del Secreto de la Hijastra;Gardner; Erle Stanley;;Molino;
Perry Mason - El caso de la lata vacia;Gardner; Erle Stanley;;Molino;
El lago salado;;;;;
La ultima respuesta;Rovira; Alex;;Plaza&Janes;
Los ojos verdes;;;;;
El Perfume - Historia de un asesino;Suskind; Patrick;;Booket;
Miau;Perez Galdos; Benito;;Alianza;
El manuscrito carmesi - Volumen II;Gala; Antonio;;El Mundo;Las 100 mejores novelas
Perry Mason - El caso de la huella labial;Gardner; Erle Stanley;;Molino;
Los Campesinos;Reymont; Wladislaw;;Aguilar;Premios Nobel
En busca del rey;Vidal; Gore;;Planeta de Agostini;Novela historica de la Edad Media
El susto;Alvarez Quintero; Serafin y Joaquin;;N/A;
El misterio de la cripta embrujada;Mendoza; Eduardo;;Biblioteca de bolsillo;
El Greco y Toledo;Mara�on;G.;Arte;Espasa Calpe;
Dime Quien Soy;Navarro; Julia;;Debolsillo;
Pedro Paramo;Rulfo; Juan;;El Mundo;Las 100 mejores novelas
Lecochandegui, el jovial;;;;;
La estirpe del Dragon;Buck; Pearl S.;;Circulo de Lectores;
La sal de la vida;;;;;
Historia Mundial;;;;Tiempo;
El precio de Amar (El baston roto);Graham; Winston;;ABC;Biblioteca Viajero
Ben-Hur;Wallace; Lewis;;Circulo de Lectores;
Barrio de Maravillas;Chacel; Rosa;;El Mundo;Las 100 mejores novelas
El hombre y su poesia (Antologia);Hernandez;Miguel;Poesia;Catedra;Letras Hispanicas
El enigma del cuatro;Caldwell; Ian;;Puzzle;
El desaparecido;;;;;
Plotino (42);Ponsati-Murla;Oriol;Filosofia;RBA;Comprender la Filosofia
La interpretacion de los sue�os (II);Freud; Sigmund;;Alianza editorial;
El se�or de Lourdines;Chateaubriant;Alphonse de;;;
La profecia Romanov;Berry; Steve;;Booket;
Apologia de Socrates;Platon;;Filosofia;Gredos;
Los tres primeros minutos del Universo;Weinberg; Steven;;Alianza;Alianza Universitario
"El angel de la noche
1. El camino de las sombras";Weeks; Brent;;Plaza&Janes;
Hannah Arendt (11);Serrano de Haro; Agustin;Filosofia;RBA;Comprender la Filosofia
El oso polar;;;;;
Amanecer;Meyer; Stephenie;Novela Juvenil;Alfaguara;
La amarga pasion de Cristo;Emmerich;Ana Catalina;;Planeta;
"Las novelas de Torquemada:
Torquemada en la hoguera";Perez Galdos; Benito;;Alianza;
La se�ora Cornelia;;;;;
EN07 - Gerona;Perez Galdos; Benito;;Alianza;Episodios Nacionales
La otra historia de los Estados Unidos;Zinn; Howard;;Siete Cuentos;
La Reina Traidora;Canavan; Trudi;Novela;Debolsillo;La Espia Traidora III
La salamandra;West; Morris;;Circulo de Lectores;
La ciudad de los prodigios;Mendoza;Eduardo;;Seix Barral;Biblioteca Breve
El olivdado;;;;;
Reto al destino;Givern; William P. Mc;;Circulo de Lectores;
Juan de Mairena;Machado; Antonio;;Alianza;
La civilizacion egea;Glotz; Gustavo;Historia;Cervantes;Sintesis historica
Gomorra;Saviano; Roberto;Novela;Debolsillo;Bestseller
La Celestina;Rojas;Fernando de;;Circulo de Lectores;
Agua para elefantes;Gruen; Sara;;Alfaguara;
Las llaves del reino;Cronin;A. J.;;Epoca;
El principito;Saint-Exupery; Antoine de;;Alianza;
Las ciudades carnales;Oldenbourg; Zoe;;Quinteto;
Pesinoe;;;;;
Nihil;;;;;
Paula;Allende; Isabel;;Plaza&Janes;Ave Fenix
La vida de los atomos;;;;;
El sombrero de tres picos;Alarcon;Pedro Antonio de;Novela;Alianza;
Los dioses guardianes;Wood; Barbara;;Grijalbo;Libro de mano
�Quien eres?;Rojas; Enrique;Psicologia;Temas de hoy;Vivir mejor
El Palacio de la medianoche;Ruiz Zafon; Carlos;;Booket;
Adaptarse a la marea;Punset; Eduardo;;Espasa;
El diablo de los numeros;Enzensberger; Hans Magnus;;Siruela;
Caballos fantasmas;;;;;
Los Rateros;Faulkner; William;;Guilermo Kraft;Vertice
La Baja Edad Media;;;;Time & Maps;
Las puertas de seda;Garcia; Olalla;;Booket;
Madame Bovary;Flaubert; Gustave;;Alianza;
Cronica de una muerte anunciada;Garcia Marquez; Gabriel;;Bruguera;Narradores de hoy
Los Cipreses creen en Dios - Volumen II;Gironella; Jose Maria;Novela;El Mundo;Las 100 mejores novelas
Bob Dylan;Sierra i Fabra; Jordi;;ABC;Biografias Vivas
Historia de Mayta;Vargas Llosa; Mario;;El Mundo;Las 100 mejores novelas
El cuento numero trece;Setterfield; Diane;;Debolsillo;Bestseller
Llena estos corazones;West; Christopher;Religion;Sinderesis;
El caballero de Olmedo;Lope de Vega;;;Anaya;Bibliteca Didactica Anaya
La interpretacion de los sue�os (I);Freud; Sigmund;;Alianza editorial;
La flor de la vida;Alvarez Quintero; Serafin y Joaquin;;N/A;
El 19 de marzo y el 2 de mayo;Perez Galdos;Benito;;;
En busca de la edad de oro;Sierra; Javier;;Debolsillo;Bestseller
Un mundo sin fin;Follet; Ken;;Plaza&Janes;
Noche de medico;;;;;
Es mi hombre;;;;;
Traficantes de dinero;Hailey; Arthur;;Circulo de Lectores;
El gnomo;;;;;
Juana de Arco (I);Marcantel; Pamela;;Planeta de Agostini;Novela historica de la Edad Media
Ficciones;Borges; Jorge Luis;;El Mundo;Las 100 mejores novelas
Perry Mason - El caso de la novia curiosa;Gardner; Erle Stanley;;Molino;
Libro del Buen Amor;Arcipreste de Hita;;;Odres nuevos;
El invierno en Lisboa;Mu�oz Molina; Antonio;;El Mundo;Las 100 mejores novelas
Leonardo da Vinci;Racionero; Luis;Biografia;ABC;Protagonistas de la historia
La Alta Edad Media;;;;Time & Maps;
El libro de la opera;Martin Triana; Jose Maria;;Alianza;
"Millennium 1
Los hombres que no amaban a las mujeres";Larsson; Stieg;;Destino;
Nadando contra corriente;Prada; Juan Manuel de;;Buenas Letras;
Rojo y Negro;Stendhal;;;Bruguera;Club
La Odisea;Homero;;;Espasa Calpe;Austral
La espa�ola inglesa;;;;;
La bella durmiente del bosque;;;;;
La comedia nueva;;;;;
El museo de cera;Edwards; Jorge;;El Mundo;Las 100 mejores novelas
Conversacion en La Catedral - Volumen II;Vargas Llosa; Mario;;Seix Barral;Nueva Narrativa Hispanica
Los mitos de la guerra civil;Moa; Pio;;Planeta;
El arbol de la Ciencia;Baroja; Pio;;El Mundo;Las 100 mejores novelas
La ciudad de la lluvia;Rio;Alfonso del;;Destino;
Pulgarcito;;;;;
Hospital de sangre;Slaughter; Frank G.;;Circulo de Lectores;
Acto sin palabras;;;;;
Los que vivimos;Rand; Ayn;;Plaza&Janes;
La esfinge;;;;;
Ricardo, corazon de leon;Flori; Jean;;Quinteto;
Poemas;Hernandez;Miguel;Poesia;Plaza&Janes;
Ivan de Aldenuri;Perez-Foncea;J.;Novela juvenil;Libros Libres;
El jardinero;Tagore; Rabindranath;;Losada;
El Reino del Espiritu;;;;;
"En busca del tiempo perdido
6. La fugitiva";Proust; Marcel;;Alianza;
La casa del asesino rojo;Harding; Paul;;Edhasa;
Lituma en los Andes;Vargas Llosa; Mario;;El Mundo;Las 100 mejores novelas
Goya;Baticle; Jeannine;Biografia;ABC;Protagonistas de la historia
Matar un ruise�or;Lee;Harper;;Circulo de Lectores;
Las inquietudes de Shanti Andia;Baroja; Pio;;El Mundo;Las 100 mejores novelas
Brahms;Siepmann; Jeremy;;Acento;Guias Musicales
El ocho;Neville; Katherine;;Zeta;
Plaza del Castillo;Garcia Serrano; Rafael;;El Mundo;Las 100 mejores novelas
Marcelino, Pan y vino;Sanchez-Silva; Jose Maria;;Salvat;Biblioteca basica
"Cuentos (1):
William Wilson";Poe; Edgar Allan;;Alianza;
La tumba negra;Umit; Ahmet;;Umbriel;
Mozart;Gay; Peter;Biografia;ABC;Protagonistas de la historia
Tatuaje;Vazquez Montalban; Manuel;;El Mundo;Las 100 mejores novelas
La ladrona de libros;Zusak; Markus;;Debolsillo;Bestseller
Misterio de las pinturas robadas;Lamblin; Pierre;;Molino;Los reportajes de Santi Roger
Auge y caida de los templarios;Demurger; Alain;;Planeta;Enigmas historicos
Dali;Ades; Dawn;Biografia;ABC;Protagonistas de la historia
El sitio de Constantinopla;Waltari; Mika;;Planeta de Agostini;Novela historica de la Edad Media
Un cuento de las Monta�as Escabrosas;;;;;
La novela de un muchacho;Gir; Ilde;;Ediciones Paulinas;
Los Herederos de la Tierra;Falcones; Ildefonso;;Grijalbo;
Don alvaro o la fuerza del sino;Duque de Rivas;;;Ibero-Americana de publicaciones;
Lola;Janer; Maria de la Pau;;Planeta;
Cartas del diablo a su sobrino;Lewis;Clive S.;;Rayo;
Energetica Psiquica y Esencia del sue�o;Jung; C.G.;;Paidos;
Jose Trigo;Paso; Fernando del;;El Mundo;Las 100 mejores novelas
Frases Ingeniosas;;;;Edelvives;
El diablo en Santa Maria;Doherty; Paul;;Planeta de Agostini;Novela historica de la Edad Media
Entre el amor y la muerte;Thibon;Gustave;;Rialp;Bolsillo
Las Legiones malditas;Posteguillo; Santiago;;Ediciones B;Africanus - Libro II
El apostol numero 13;Benoit; Michel;;Debolsillo;Bestseller
Poesias escogidas;;;;;
El ultimo papel;Alvarez Quintero; Serafin y Joaquin;;N/A;
El invierno de Frankir Machine;Winslow; Don;;Booket;
Gringo viejo;Fuentes; Carlos;;Millenium;
Los asesinatos de Horus;Doherty; Paul;;Edhasa;
Playa de oto�o;;;;;
Veinte a�os despues;Dumas; Alejandro;;J. Perez del Hoyo;
El abrazo del agua;Campmany; Jaime;;Plaza&Janes;Trilogia de Villa-Luce 3
El codigo da Vinci;Brown; Dan;;Umbriel;
Asi hablaba Zaratustra;Nietzsche; Frederic;;Editores Mexicanos Unidos;
Medianoche;Koontz; Dean;;Debolsillo;Bestseller
La sonrisa de Maquiavelo;Viroli; Maurizio;Biografia;ABC;Protagonistas de la historia
"Aku-Aku
El secreto de la isla de Pascua";Heyerdahl; Thor;;Juventud;
Los bosques;Jensen; Johannes Vilhelm;;Aguilar;Premios Nobel
Leibniz (31);Gonzalez Romero;Felix;Filosofia;RBA;Comprender la Filosofia
La voz del silencio;;;;;
Los Ogros del Ganges (El Siglo de las Quimeras I);Cavalier; Philippe;;Mosaico;
Inferno;Brown; Dan;;Booket;Bestseller
"Olav Audunss�n:
1. Olav Audunss�n toma esposa
2. La felicidad de Olva Audunss�n
3. El cruce de los caminos
4. El desierto
5. El invierno
6. El vengandor";Undset; Sigrid;;Aguilar;Premios Nobel
Los verdugos;Macdonald; John D.;;Luis de Caralt;BestSellers de la Violencia
Consejos para mamas ocupadas;Wigand; Molly;Ensayo;San Pablo;Minilibros autoayuda
El Ingenioso hidalgo Don Quijote de la Mancha (I);Cervantes Saavedra; Miguel de;;ABC;IV Centenario
�Donde se encuentra la sabiduria?;Bloom; Harold;;Punto de lectura;
Yo, Claudio;Graves; Robert;;Alianza editorial;
Audrey Hepburn en el recuerdo;Yuste; Cristina;;ABC;Biografias Vivas
Los privilegios del angel;Redondo;Dolores;Novela;Booket;Destino
Secretico de confesion;Alvarez Quintero; Serafin y Joaquin;;N/A;
"Memorias de Idhun
II - Triada";Gallego Garcia;Laura;Novela juvenil;SM;
La lucha por la vida II - Mala Hierba;Baroja; Pio;;El Mundo;Las 100 mejores novelas
EN01 - Trafalgar;Perez Galdos; Benito;;Alianza;Episodios Nacionales
Los ojos verdes;;;;;
La gitanilla;;;;;
Perry Mason - El caso de las piernas bonitas;Gardner; Erle Stanley;;Molino;
El zapato de la lengua rota;Zabay; Maria;;Almuzara;
El misterio de Sittaford;Christie; Agatha;;Molino;
El hombre mediocre;Ingenieros;Jose;;Epoca;
Historia total de Espa�a;La Cierva; Ricardo de;;Fenix;Gran bolsillo
El guardaespaldas;Tine; Robert;Novela;Zeta;
Circo Maximo;Posteguillo; Santiago;Novela;Booket;Trajano - Libro II
Ca�as y Barro;Blasco Iba�ez; Vicente;;El Mundo;Las 100 mejores novelas
"Los ""panzers"" de la muerte";Hassel; Sven;Novela;Ediciones G.P.;
Las hermanas coloradas;Garcia Pavon; Francisco;;El Mundo;Las 100 mejores novelas
Aglacena y Seliseta;;;;;
"Danza de Dragones II
Cancion de Hielo y Fuego 5";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
La caza del diablo;Doherty; Paul;;Planeta de Agostini;Novela historica de la Edad Media
Historia secreta de Las Navas del Marques;Garcia Yebra; Tomas;;Ediciones Libertarias;
La rosa de pasion;;;;;
Fabulas esopicas;Esopo;;;Jorge A. Mestas;Clasicos universales
El Caballero de las Espuelas de Oro;;;;;
La lola se va a los puertos;Machado; Manuel y Antonio;;Espasa Calpe;Austral
Cartas al rey;Romero; Emilio;;Planeta;
Florian Geyer;;;;;
Treinta mil pesetas por un hombre;Candel; Francisco;;Ediciones G.P.;
La sangre de los inocentes;Navarro; Julia;;Plaza&Janes;
;Shook;Robert L.;;;
El salon dorado;Corral Lafuente; Jose Luis;;Planeta de Agostini;Novela historica de la Edad Media
Preguntale a Alicia;Anonimo;;;Circulo de Lectores;
El Maestro del Prado;Sierra; Javier;Novela;Planeta;
EN06 - Zaragoza;Perez Galdos; Benito;;Alianza;Episodios Nacionales
Parabolas del Talmud;Bleefeld;Bradley R.;Religion;Obelisco;
Cantar de ciegos;Fuentes; Carlos;;El Mundo;Las 100 mejores novelas
Napoleon;Ellis; Geoffrey;Biografia;ABC;Protagonistas de la historia
De la fiebre;;;;;
El corazon delator;;;;;
La corza blanca;;;;;
La dama de Londres;;;;;
Huerto ignorado;Alvarez Quintero; Pedro;;Manuel Aguilar;
Las fuentes del nilo;Sanchez Drago; Fernando;;El Mundo;Las 100 mejores novelas
Como saber si mi hijo tiene altas capacidades intelectuales;Fernandez Reyes; Maria Teresa;Psicologia;Diada;eduforma
Lectura insolita de El Capital;Guerra Garrido; Raul;;El Mundo;Las 100 mejores novelas
Carmides;Platon;;Filosofia;Gredos;
La trascendencia lirica;Blanch;Antonio;Ensayo;Narcea;
La momia o Ramses el maldito;Rice; Anne;;Byblos;
Transito;Parera Galmes;Bartolome;Poesia;viveLibro;
El enigma del Escorial;Kamen; Henry;;Espasa Calpe;
La educacion sentimental - 2;Flaubert; Gustave;;Alianza;
La promesa;;;;;
Lo desconocido;;;;;
Koenigsmark;Benoit; Pierre;;Planeta;
El due�o de la herida;Gala; Antonio;;Circulo de lectores;
Maimonides (43);Molina Olivencia;Esther;Filosofia;RBA;Comprender la Filosofia
Batallon de castigo;Hassel; Sven;;Inedita editores;
Cabezas verdes, manos azules;Bowles; Paul;;Alfaguara bolsillo;
Simon Bolivar;Ramos; Demetrio;Biografia;ABC;Protagonistas de la historia
El tercer gemelo;Follet; Ken;;Grijalbo;
Los Thibault - 5;Martin du Gard; Roger;;Alianza;
Pantaleon y las Visitadoras;Vargas Llosa; Mario;;Bruguera;Club
Endimion;Heidenstam; Carl Gustaf Verner von;;Aguilar;Premios Nobel
Un paso por delante de la bolsa;Lynch; Peter;Divulgacion;Verlag Noorbert Bartl;
Las gafas del diablo;Fernandez Florez; Wenceslao;;General de Ediciones;Collecion Cibeles
Cartas Marruecas;Cadalso; Jose;;Espasa Calpe;Austral
Don Gil de las Calzas verdes;Tirso de Molina;;;Ibero-Americana de publicaciones;
Tal vez ma�ana;;;;;
